n, H[n]
0, 1024
1, 3071
2, 6140
3, 10230
4, 15340
5, 21469
6, 28616
7, 36780
8, 45960
9, 56155
10, 67364
11, 79586
12, 92820
13, 107065
14, 122320
15, 138584
16, 155856
17, 174135
18, 193420
19, 213710
20, 235004
21, 257301
22, 280600
23, 304900
24, 330200
25, 356499
26, 383796
27, 412090
28, 441380
29, 471665
30, 502944
31, 535216
32, 568480
33, 602735
34, 637980
35, 674214
36, 711436
37, 749645
38, 788840
39, 829020
40, 870184
41, 912331
42, 955460
43, 999570
44, 1044660
45, 1090729
46, 1137776
47, 1185800
48, 1234800
49, 1284775
50, 1335724
51, 1387646
52, 1440540
53, 1494405
54, 1549240
55, 1605044
56, 1661816
57, 1719555
58, 1778260
59, 1837930
60, 1898564
61, 1960161
62, 2022720
63, 2086240
64, 2150720
65, 2216159
66, 2282556
67, 2349910
68, 2418220
69, 2487485
70, 2557704
71, 2628876
72, 2701000
73, 2774075
74, 2848100
75, 2923074
76, 2998996
77, 3075865
78, 3153680
79, 3232440
80, 3312144
81, 3392791
82, 3474380
83, 3556910
84, 3640380
85, 3724789
86, 3810136
87, 3896420
88, 3983640
89, 4071795
90, 4160884
91, 4250906
92, 4341860
93, 4433745
94, 4526560
95, 4620304
96, 4714976
97, 4810575
98, 4907100
99, 5004550
100, 5102924
101, 5202221
102, 5302440
103, 5403580
104, 5505640
105, 5608619
106, 5712516
107, 5817330
108, 5923060
109, 6029705
110, 6137264
111, 6245736
112, 6355120
113, 6465415
114, 6576620
115, 6688734
116, 6801756
117, 6915685
118, 7030520
119, 7146260
120, 7262904
121, 7380451
122, 7498900
123, 7618250
124, 7738500
125, 7859649
126, 7981696
127, 8104640
128, 8228480
129, 8353215
130, 8478844
131, 8605366
132, 8732780
133, 8861085
134, 8990280
135, 9120364
136, 9251336
137, 9383195
138, 9515940
139, 9649570
140, 9784084
141, 9919481
142, 10055760
143, 10192920
144, 10330960
145, 10469879
146, 10609676
147, 10750350
148, 10891900
149, 11034325
150, 11177624
151, 11321796
152, 11466840
153, 11612755
154, 11759540
155, 11907194
156, 12055716
157, 12205105
158, 12355360
159, 12506480
160, 12658464
161, 12811311
162, 12965020
163, 13119590
164, 13275020
165, 13431309
166, 13588456
167, 13746460
168, 13905320
169, 14065035
170, 14225604
171, 14387026
172, 14549300
173, 14712425
174, 14876400
175, 15041224
176, 15206896
177, 15373415
178, 15540780
179, 15708990
180, 15878044
181, 16047941
182, 16218680
183, 16390260
